stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
3377699723785424,8260,Sicard Alaman,43.581494,1.489319,0,1970324840232143,1
3377699723785425,8261,Sicard Alaman,43.581621,1.489391,0,1970324840232143,2
3377699723785427,8270,Capdenier,43.578757,1.490776,0,1970324840232146,2
3377699723785428,8271,Capdenier,43.579098,1.490811,0,1970324840232146,1
3377699723785430,8280,Parc de Montaudran,43.576128,1.489574,0,1970324840232149,1
3377699723785431,8281,Parc de Montaudran,43.576353,1.489914,0,1970324840232149,1
3377699723791570,23190,Esquillette,43.601904,1.324916,0,1970324839924874,2
3377699723791571,23191,Esquillette,43.602222,1.325456,0,1970324839924874,1
3377699723791573,23220,Cap Sicié,43.598417,1.318174,0,1970324840238292,1
3377699723791574,23221,Cap Sicié,43.598210,1.318758,0,1970324840238292,2
3377699723791576,23230,Giratoire Pluton,43.596129,1.300878,0,1970324840238295,2
3377699723791577,23231,Giratoire Pluton,43.596644,1.301899,0,1970324840238295,2
3377699723791579,23240,Centre de tri postal,43.592638,1.299833,0,1970324840238298,2
3377699723791580,23241,Centre de tri postal,43.592084,1.299627,0,1970324840238298,2
3377699723791582,23250,A. Perdiguier,43.583383,1.289267,0,1970324840238301,1
3377699723791583,23251,A. Perdiguier,43.584052,1.289174,0,1970324840238301,1
3377699723791585,23260,Italiens,43.580151,1.273002,0,1970324840238304,2
3377699723791586,23261,Italiens,43.580387,1.273158,0,1970324840238304,1
3377699723791587,23270,11 Novembre 1918,43.569531,1.287463,0,1970329131942364,1
3377699723791588,23271,11 Novembre 1918,43.569844,1.287277,0,1970329131942364,1
3377699723791590,23280,Béarn,43.566819,1.290933,0,1970324840238309,1
3377699723791591,23281,Béarn,43.567192,1.290677,0,1970324840238309,2
3377699723865492,4670,Rue du 14 juillet,43.590378,1.414845,0,1970324840312211,2
3377699723865493,4671,Rue du 14 juillet,43.590845,1.414736,0,1970324840312211,1
3377699723865494,23200,Place des Marots,43.599747,1.322440,0,1970324839924872,2
3377699723865495,23201,Place des Marots,43.600642,1.323652,0,1970324839924872,2
3377699723865496,23210,Nasque,43.597922,1.321113,0,1970324837431396,2
3377699723865497,23211,Nasque,43.597811,1.321283,0,1970324837431396,2
3377699723914633,7800,Lacourtensourt Gare SNCF,43.664131,1.414336,0,1970324840361352,1
3377699723914634,7801,Lacourtensourt Gare SNCF,43.663723,1.414537,0,1970324840361352,1
3377699723931112,25301,Varennes En Clavié,43.470481,1.685149,0,1970324840377831,2
3377699723937543,2440,Etats-Unis Fondeyre,43.643368,1.428303,0,1970324837185381,1
3377699723937619,20270,Maison Commune,43.557513,1.430096,0,1970324840384338,1
3377699723937620,20271,Maison Commune,43.557576,1.430431,0,1970324840384338,1
3377699723986377,1042,Cartoucherie,43.604774,1.404601,0,1970324837186008,1
3377699723986537,1043,Cartoucherie,43.604513,1.404653,0,1970324837186008,1
3377699724000873,13253,Bruguières Mairie,43.727492,1.411298,0,1970324837186460,1
3377699724020406,14013,Pradelle,43.694285,1.432425,0,1970324837186436,1
3377699724020407,14003,Mairie Castelginest,43.693879,1.428073,0,1970324837184983,1
3377699724083641,6582,Rond-Point Langlade,43.566772,1.425007,0,1970324837185088,1
3377699724083642,6583,Rond-Point Langlade,43.566843,1.425106,0,1970324837185088,1
3377699724093789,3591,Jean Zay,43.641048,1.447112,0,1970324839934074,1
3377699724118411,104,Ancely,43.617389,1.396818,0,1970324837184663,1
3377699724118414,7202,Villenouvelle,43.552633,1.376314,0,1970324837186310,1
3377699724118415,7203,Villenouvelle,43.552547,1.376637,0,1970324837186310,1
3377699724118418,4489,Marengo-SNCF,43.610056,1.456255,0,1970324837184594,1
3377699724118423,18471,St-Orens Lycée,43.540529,1.547728,0,1970324837185279,1
3377699724118446,2881,Canal de Brienne,43.608262,1.424516,0,1970324837186052,1
3377699724118447,1575,"Gymnase de l'Hers",43.591613,1.489763,0,1970324840530397,1
3377699724118448,21920,Borde Haute,43.643715,1.531077,0,1970324840530398,1
3377699724118449,21921,Borde Haute,43.644784,1.531994,0,1970324840530398,2
3377699724118450,21990,Bel Souleil,43.644859,1.544647,0,1970324840530399,2
3377699724118451,21991,Bel Souleil,43.644933,1.544510,0,1970324840530399,1
3377699724118456,4120,Leclerc,43.609350,1.431598,0,1970324837185358,1
3377699724118462,13341,Sers,43.688281,1.405838,0,1970324840530402,1
3377699724118468,7580,Damoysel,43.548960,1.399069,0,1970324840530403,2
3377699724118469,7581,Damoysel,43.548646,1.399513,0,1970324840530403,2
3377699724118470,7590,Champollion,43.544792,1.396242,0,1970324840530404,2
3377699724118471,7591,Champollion,43.545299,1.396028,0,1970324840530404,1
3377699724118472,23290,Château de Soule,43.534995,1.470832,0,1970324840530405,1
3377699724118474,60200,Déodat de Séverac,43.589707,1.421642,0,1970324837185918,1
3377699724118475,60201,Déodat de Séverac,43.589645,1.421559,0,1970324837185918,1
3377699724118476,60250,Palais de Justice,43.592771,1.443978,0,1970324837184792,1
3377699724118477,60251,Palais de Justice,43.592691,1.444029,0,1970324837184792,1
3377699724118478,60210,Croix de Pierre,43.585671,1.427852,0,1970324837185229,1
3377699724118479,60211,Croix de Pierre,43.585606,1.427768,0,1970324837185229,1
3377699724118480,60220,Avenue Muret Marcel Cavaillé,43.589308,1.431728,0,1970324840530406,1
3377699724118481,60221,Avenue Muret Marcel Cavaillé,43.589264,1.431829,0,1970324840530406,1
3377699724118482,60230,Fer à Cheval,43.592682,1.435508,0,1970324837185543,1
3377699724118483,60231,Fer à Cheval,43.592593,1.435497,0,1970324837185543,1
3377699724118484,60240,Ile du Ramier,43.592256,1.440511,0,1970324840530407,1
3377699724118485,60241,Ile du Ramier,43.592157,1.440500,0,1970324840530407,1
3377699724118495,20332,Vincent Auriol,43.470209,1.329674,0,1970324837185546,1
3377699724118502,24490,Moulin de la Jalousie,43.520450,1.189904,0,1970324840530413,1
3377699724118503,24491,Moulin de la Jalousie,43.520032,1.189023,0,1970324840530413,1
3377699724118504,24500,Maison de Retraite,43.518573,1.184649,0,1970324840530414,1
3377699724118505,24501,Maison de Retraite,43.518438,1.184549,0,1970324840530414,1
3377699724118506,24510,Boulodrome,43.515327,1.176515,0,1970324840530415,1
3377699724118507,24511,Boulodrome,43.514970,1.175833,0,1970324840530415,1
3377699724118508,24551,Piscine,43.512874,1.172285,0,1970324840530416,1
3377699724118513,21545,Collège Pechbonnieu,43.705499,1.462545,0,1970324837337554,1
3377699724118518,32330,Gafelaze,43.687813,1.415879,0,1970324840530420,1
3377699724118519,32331,Gafelaze,43.687718,1.416195,0,1970324840530420,1
3377699724118520,32340,St-Alban Salvador Allende,43.688581,1.409653,0,1970324837190510,1
3377699724118521,32341,St-Alban Salvador Allende,43.688447,1.408642,0,1970324837190510,1
3377699724118530,25950,La Plaine Tucol,43.746502,1.370339,0,1970324840530427,2
3377699724118533,1463,"Cité de l'Hers",43.596464,1.483917,0,1970324837185362,1
3377699724118534,1910,Collège JP Vernant,43.593923,1.488163,0,1970324837186057,1
3377699724118535,1911,Collège JP Vernant,43.595366,1.486946,0,1970324837186057,1
3377699724118536,28450,Brunière,43.595266,1.443125,0,1970324840530431,1
3377699724118537,28460,Féral,43.595931,1.446470,0,1970324840530432,1
3377699724118540,28490,Embarthe,43.608108,1.438418,0,1970324840530435,1
3377699724118541,28500,Quai St Pierre,43.603636,1.435166,0,1970324840530436,1
3377699724118543,28520,Quai de la Daurade,43.600032,1.440134,0,1970324840530438,2
3377704015495171,761,Braves,43.600853,1.419289,0,1970329131941890,1
3377704015495173,1131,Cher,43.581958,1.407820,0,1970329131941891,1
3377704015495175,2111,Dufaur de Pibrac,43.601766,1.415634,0,1970329131941893,1
3377704015495181,2461,Eylau,43.619926,1.441085,0,1970329131941895,1
3377704015495189,3291,Professeur Jammes,43.617193,1.440763,0,1970329131941899,1
3377704015495192,3460,Olympe de Gouges,43.644354,1.444593,0,1970329131941902,1
3377704015495193,3461,Olympe de Gouges,43.644116,1.445031,0,1970329131941902,1
3377704015495203,5731,Puget,43.623208,1.442385,0,1970329131941909,1
3377704015495205,6151,Ronsard,43.583399,1.406918,0,1970329131941910,1
3377704015495206,6250,Arènes Romaines,43.613642,1.397263,0,1970324839218398,1
3377704015495207,6251,Arènes Romaines,43.613560,1.397101,0,1970324839218398,1
3377704015495209,6433,St-Gaudens,43.585072,1.410354,0,1970329131941911,1
3377704015495211,7051,Talazac,43.602754,1.411513,0,1970329131941913,1
3377704015495215,8212,Joseph Hubert,43.624894,1.491535,0,1970324839914121,1
3377704015495216,8213,Joseph Hubert,43.624868,1.491702,0,1970324839914121,1
3377704015495217,10032,Vidailhan,43.626784,1.490074,0,1970324837186076,1
3377704015495218,10035,Vidailhan,43.626910,1.489692,0,1970324837186076,1
3377704015495228,11180,Saguens,43.526199,1.378159,0,1970329131941919,1
3377704015495230,11183,Saguens,43.526372,1.378023,0,1970329131941919,2
3377704015495256,21140,Electronique,43.718493,1.395670,0,1970324839397429,2
3377704015495261,22320,Bellegarde,43.607738,1.445473,0,1970329131941936,1
3377704015495262,22330,Rémusat,43.605232,1.443808,0,1970329131941937,1
3377704015495269,27350,Colette,43.670540,1.495170,0,1970329131941941,2
3377704015495274,29060,Jaufré Rudel,43.612372,1.392608,0,1970329131941944,1
3377704015495275,29061,Jaufré Rudel,43.611290,1.392076,0,1970329131941944,1
3377704015495276,29070,Carlos Gardel,43.614970,1.394461,0,1970329131941945,1
3377704015495277,29071,Carlos Gardel,43.614300,1.393815,0,1970329131941945,2
3377704015495278,29080,Ctre Cial Purpan Est,43.608680,1.397230,0,1970329131941946,1
3377704015495279,29081,Ctre Cial Purpan Est,43.609586,1.397362,0,1970329131941946,2
3377704015495280,29260,Canto Laouzetto,43.550951,1.379210,0,1970329131941947,1
3377704015495281,29261,Canto Laouzetto,43.551423,1.378633,0,1970329131941947,1
3377704015495282,29270,Carovis,43.549371,1.383079,0,1970329131941948,1
3377704015495283,29271,Carovis,43.549496,1.383398,0,1970329131941948,1
3377704015495284,29281,Tibaous,43.550975,1.385895,0,1970329131941949,2
3377704015495439,20491,Parc du Canal,43.553674,1.484756,0,1970324837648460,1
3377704015495458,2793,Flambère,43.608643,1.390533,0,1970324837186533,1
3377704015495462,17260,La Tour,43.608909,1.502573,0,1970324837186699,1
3377704015495467,21690,Renery,43.717476,1.448138,0,1970329131942057,1
3377704015495468,21691,Renery,43.717543,1.447365,0,1970329131942057,1
3377704015495480,3923,La Terrasse,43.581754,1.487126,0,1970329131942063,2
3377704015495481,21700,La Plaine,43.578854,1.496223,0,1970324837190571,2
3377704015495482,26650,Naturopole,43.558874,1.473462,0,1970329131942064,1
3377704015495483,26651,Naturopole,43.558992,1.473499,0,1970329131942064,1
3377704015495484,26660,Sports Universitaires,43.561389,1.471004,0,1970329131942065,1
3377704015495485,26661,Sports Universitaires,43.561518,1.471032,0,1970329131942065,1
3377704015495486,26670,Giordano Bruno,43.564634,1.468669,0,1970329131942066,1
3377704015495487,26671,Giordano Bruno,43.564611,1.468849,0,1970329131942066,1
3377704015495488,26680,LAAS,43.564197,1.474368,0,1970324837186912,1
3377704015495489,26681,LAAS,43.564111,1.474300,0,1970324837186912,1
3377704015495490,26690,ENAC,43.564617,1.478106,0,1970324837185961,1
3377704015495491,26691,ENAC,43.564602,1.478288,0,1970324837185961,1
3377704015495492,26700,CNES- IAS,43.562646,1.480993,0,1970324837184650,1
3377704015495493,26701,CNES- IAS,43.562513,1.480972,0,1970324837184650,1
3377704015495494,26710,Clément Ader,43.564055,1.490373,0,1970329131942067,1
3377704015495495,26711,Clément Ader,43.563980,1.490624,0,1970329131942067,1
3377704015495496,27880,Marcel Dassault,43.573596,1.493707,0,1970329131942068,2
3377704015495497,27881,Marcel Dassault,43.573728,1.494190,0,1970329131942068,1
